scenario_id,famiglia,revisore_1,revisore_2,tempo_manual_before_seconds,tempo_with_thistinti_seconds,anomalia_reale,anomalia_segnalata,falso_positivo,falso_negativo,giudizio_utilizzatore_1_5,note
clean-01,catena coerente,,,,,,,,,,
clean-02,catena coerente,,,,,,,,,,
clean-03,catena coerente,,,,,,,,,,
clean-04,catena coerente,,,,,,,,,,
clean-05,catena coerente,,,,,,,,,,
clean-06,catena coerente,,,,,,,,,,
multi-clean-01,consegne e fatture multiple,,,,,,,,,,
multi-clean-02,consegne e fatture multiple,,,,,,,,,,
quantity-over-01,quantità fatturata oltre consegna,,,,,,,,,,
quantity-over-02,quantità fatturata oltre consegna,,,,,,,,,,
quantity-over-03,quantità fatturata oltre consegna,,,,,,,,,,
quantity-over-04,quantità fatturata oltre consegna,,,,,,,,,,
quantity-over-05,quantità fatturata oltre consegna,,,,,,,,,,
price-over-01,prezzo superiore all'ordine,,,,,,,,,,
price-over-02,prezzo superiore all'ordine,,,,,,,,,,
price-over-03,prezzo superiore all'ordine,,,,,,,,,,
price-over-04,prezzo superiore all'ordine,,,,,,,,,,
discount-missing-01,sconto mancante,,,,,,,,,,
discount-missing-02,sconto mancante,,,,,,,,,,
discount-missing-03,sconto mancante,,,,,,,,,,
discount-missing-04,sconto mancante,,,,,,,,,,
unmatched-line-01,riga fattura non abbinata,,,,,,,,,,
unmatched-line-02,riga fattura non abbinata,,,,,,,,,,
unmatched-line-03,riga fattura non abbinata,,,,,,,,,,
return-no-credit-01,reso senza nota di credito,,,,,,,,,,
return-no-credit-02,reso senza nota di credito,,,,,,,,,,
partial-credit-01,nota di credito parziale,,,,,,,,,,
partial-credit-02,nota di credito parziale,,,,,,,,,,
ambiguous-sku-01,codici articolo ambigui,,,,,,,,,,
ambiguous-sku-02,codici articolo ambigui,,,,,,,,,,
