package,version,declared_license
alembic,1.18.4,MIT
annotated-types,0.7.0,OSI Approved :: MIT License
anyio,4.14.2,MIT
bandit,1.9.4,Apache-2.0
boolean.py,5.0,BSD-2-Clause
CacheControl,0.14.4,Apache-2.0
certifi,2026.6.17,MPL-2.0
charset-normalizer,3.4.9,MIT
click,8.4.2,BSD-3-Clause
coverage,7.13.3,Apache-2.0
cyclonedx-python-lib,11.11.0,Apache-2.0
defusedxml,0.7.1,PSFL
dnspython,2.8.0,ISC
email_validator,2.2.0,Unlicense
et_xmlfile,2.0.0,MIT
fastapi,0.116.1,OSI Approved :: MIT License
filelock,3.31.1,MIT
greenlet,3.5.3,MIT AND PSF-2.0
h11,0.16.0,MIT
httpcore,1.0.9,BSD-3-Clause
httptools,0.8.0,MIT
httpx,0.28.1,BSD-3-Clause
idna,3.18,BSD-3-Clause
iniconfig,2.3.0,MIT
license-expression,30.4.4,Apache-2.0
lxml,6.0.0,BSD-3-Clause
Mako,1.3.12,MIT
markdown-it-py,4.2.0,OSI Approved :: MIT License
MarkupSafe,3.0.3,BSD-3-Clause
mdurl,0.1.2,OSI Approved :: MIT License
msgpack,1.2.1,Apache-2.0
openpyxl,3.1.5,MIT
packageurl-python,0.17.6,MIT
packaging,26.2,Apache-2.0 OR BSD-2-Clause
pillow,12.2.0,MIT-CMU
pip,25.1.1,MIT
pip-api,0.0.34,OSI Approved :: Apache Software License
pip-requirements-parser,32.0.1,MIT
pip_audit,2.10.1,OSI Approved :: Apache Software License
platformdirs,4.10.1,MIT
pluggy,1.6.0,MIT
psycopg,3.2.9,GNU Lesser General Public License v3 (LGPLv3)
psycopg-binary,3.2.9,GNU Lesser General Public License v3 (LGPLv3)
py-serializable,2.1.0,Apache-2.0
pydantic,2.11.7,MIT
pydantic_core,2.33.2,MIT
Pygments,2.20.0,BSD-2-Clause
pyparsing,3.3.2,MIT
pypdf,5.9.0,BSD-3-Clause
pypdfium2,5.8.0,"BSD-3-Clause, Apache-2.0, dependency licenses"
pytest,9.0.2,MIT
python-dotenv,1.2.2,BSD-3-Clause
python-multipart,0.0.20,Apache-2.0
PyYAML,6.0.3,MIT
requests,2.34.2,Apache-2.0
rich,15.0.0,MIT
ruff,0.15.22,MIT
sortedcontainers,2.4.0,Apache 2.0
SQLAlchemy,2.0.43,MIT
starlette,0.47.3,BSD-3-Clause
stevedore,5.9.0,Apache-2.0
tomli,2.4.1,MIT
tomli_w,1.2.0,OSI Approved :: MIT License
typing-inspection,0.4.2,MIT
typing_extensions,4.16.0,PSF-2.0
urllib3,2.7.0,MIT
uvicorn,0.35.0,BSD-3-Clause
uvloop,0.22.1,MIT License
watchfiles,1.2.0,MIT
websockets,16.1.1,BSD-3-Clause
